WELL,START_DATE,END_DATE,WELL START END,LIFETIME,WELL_TYPE,PSN,DHS,ROD_GUIDE,AVE_GROSS,AVE_GAS,PUMP_EFF,OD_PUMP,SL,SPM,SM,TORQUE,LOAD,ROD_STRESS,FREQ_OFF,HOUR_OFF,SAND,GASSY,PARAFFINIC,SCALE,SAND_LEVEL,RIG REPORT
ST-122,27-Jan-19,13-Apr-20,ST-1224349243934,443,VERTICAL,605,GACT,0,35,7,0.16,2.5,60.4,5.0,43,0.448,0.383,0.39,18,70,0,0,0,0,0,
ST-124,30-Jan-19,23-Sep-19,ST-1244349543731,237,VERTICAL,710,GACT,0,27,37,0.09,2.5,86,5.0,1,0.396,0.382,0.47,9,50,1,1,0,0,124,
ST-124,6-Oct-19,10-Mar-20,ST-1244374443900,157,VERTICAL,807,GACT,0,41,29,0.21,2,86,5.0,5,0.339,0.355,0.431,9,53,1,1,0,0,115,
ST-124,22-Mar-20,23-Jan-21,ST-1244391244219,308,VERTICAL,1160,GACT,0,56,76,0.35,2,86,4.0,11,0.448,0.508,0.589,14,68,1,1,0,0,100,
ST-124,10-Feb-21,19-Jun-21,ST-1244423744366,130,VERTICAL,1160,GACT,0,7,7,0.04,2,86,4.0,88,0.425,0.495,0.573,6,32,1,0,0,0,67,
ST-126,30-Aug-15,17-May-16,ST-1264224642507,262,VERTICAL,1126,GACT,0,385,0,0.42,2.5,168,7.5,859,0.651,0.423,0.714,4,2989,0,0,0,0,0,
ST-126,22-Oct-16,14-Feb-17,ST-1264266542780,116,VERTICAL,613,GACT,0,222,1,0.24,2.5,168,7.5,229,0.601,0.27,0.49,22,122,0,0,0,0,0,
ST-126,15-Feb-17,3-Jan-18,ST-1264278143103,323,VERTICAL,894,GACT,0,719,2,0.50,3,168,8.2,458,0.672,0.388,0.683,59,258,0,0,0,0,0,
ST-126,17-Feb-18,9-Mar-18,ST-1264314843168,21,VERTICAL,894,GACT,0,212,0,0.17,3,168,7.2,474,0.623,0.367,0.64,6,58,0,0,0,0,0,
ST-126,17-Apr-18,22-Aug-19,ST-1264320743699,493,VERTICAL,939,SANDTRAP,0,642,1,0.62,2.5,168,8.4,603,0.596,0.345,0.604,21,116,1,0,0,0,176,
